species,diameter,height,leafarea,branchmass
PSME,54.61,27.03999951,338.485622,410.24638
PSME,34.8,27.4199988,122.157864,83.6503
PSME,24.89,21.23000017,3.958274,3.5127
PSME,28.7,24.95999968,86.350653,73.13027
PSME,34.8,29.98999968,63.350906,62.39044
PSME,37.85,28.06999906,61.372765,53.86594
PSME,22.61,23.42999913,32.077794,22.22474
PSME,39.37,32.44999809,147.270523,119.38869
PSME,39.88,30.10000028,141.787332,95.58503
PSME,26.16,25.84999877,45.020041,45.33095
PSME,43.69,31.82999998,145.809802,96.32311
PSME,69.85,31.35000017,349.05701,543.97314
PSME,44.45,32.61000019,176.029213,110.12476
PSME,56.64,31.69999766,319.507115,260.48752
PSME,54.61,30.17999806,234.368784,281.12312
PSME,5.33,4.949999782,4.851567,2.67065
PSME,6.1,5.26000011,7.595163,3.57145
PSME,7.37,5.580000195,11.502851,4.58916
PSME,8.33,6.470000131,25.380647,8.63615
PSME,13.51,8.910000365,65.698749,34.93701
PSME,51.31,33.30000015,160.839174,165.05529
PSME,22.35,19.38999953,31.780702,35.64921
PIPO,69.6,39.36999864,189.733007,452.42455
PIPO,58.42,35.8099995,253.308265,595.64015
PIPO,33.27,20.80000143,91.538428,160.44416
PIPO,44.2,29.11000066,90.453658,149.72883
PIPO,30.48,22.39999889,99.73679,44.13532
PIPO,27.43,27.69000074,34.464685,22.9836
PIPO,43.18,35.58000047,68.150309,106.4041
PIPO,38.86,33.12000106,46.32606,58.24071
PIPO,52.58,41.16000258,160.993131,214.34109
PIPO,20.83,23.34000042,9.806496,8.25614
PIPO,24.13,25.94000095,20.74328,22.60111
PIPO,24.89,25.11000022,21.649603,16.77015
PIPO,45.97,30.3899993,66.633675,87.36908
PIPO,35.05,28.39999855,54.267994,51.09006
PIPO,23.88,23.38000056,19.84468,13.98343
PIPO,60.2,31.72999928,131.727303,408.33826
PIPO,12.45,7.360000515,22.365837,16.98648
PIPO,4.83,3.569999832,2.636336,1.7781
PIPO,70.61,31.92999734,411.160376,1182.42222
PIPO,11.43,6.919999749,15.476022,9.25151
PIPO,11.94,5.849999418,14.493428,7.55701
PIPO,60.2,35.13999818,169.053644,658.23971
PIMO,60.71,39.84000257,139.651156,139.2559
PIMO,70.61,40.65999885,376.308256,541.30618
PIMO,57.66,38.88999786,417.209436,310.56688
PIMO,43.13,36.23999975,103.672633,100.40178
PIMO,18.29,23.1300004,33.71358,14.48567
PIMO,43.43,37.5899983,116.154916,108.44781
PIMO,18.54,21.28999927,44.934469,16.54457
PIMO,12.95,13.43999951,18.855867,8.71068
PIMO,37.85,36.59,154.078625,72.02907
PIMO,26.92,29.04999924,70.602797,35.87333
PIMO,38.61,35.51999923,169.163842,114.06445
PIMO,6.48,5.420000304,7.650902,3.50621
PIMO,31.75,34.55999883,93.072006,44.72725
PIMO,73.66,44.64000038,277.49436,275.71655
PIMO,28.19,22.59000012,131.856837,91.76231
PIMO,61.47,44.9899975,121.428976,199.86339
PIMO,51.56,40.22999936,212.443589,220.55688
PIMO,18.29,12.97999965,82.093031,28.04785
PIMO,8.38,4.949999798,6.551044,4.36969
