Date,CO2,Ring,Tree,Photo,Trmmol,VpdL
A,Ele,R1,116,29.04,4.88,1.22
A,Ele,R1,117,31.94,4.58,1.19
A,Ele,R1,122,25.29,4.21,1.15
A,Amb,R2,202,22.25,3.81,1.1
A,Amb,R2,207,25.64,3.87,0.96
A,Amb,R2,209,23.6,4.08,0.99
A,Amb,R3,302,23.82,4.37,1.27
A,Amb,R3,320,21.52,5.37,1.36
A,Amb,R3,321,29.92,6.24,1.21
A,Ele,R4,403,28.18,4.26,1.15
A,Ele,R4,408,32.28,5.12,1.33
A,Ele,R4,422,31.74,4.83,1.42
A,Ele,R5,501,24.99,3.62,0.99
A,Ele,R5,502,35.9,4.21,1.04
A,Ele,R5,509,23.78,2.69,1.11
A,Amb,R6,603,26.8,4.15,0.91
A,Amb,R6,607,25.4,3.84,0.7
A,Amb,R6,612,26.67,4.92,0.85
B,Ele,R1,116,21.43884312,2.008593791,1.031635661
B,Ele,R1,117,20.18252552,3.122188302,1.046856609
B,Ele,R1,122,20.64799379,2.736413182,1.034992075
B,Amb,R2,207,20.13873564,3.630015442,1.018070646
B,Amb,R2,208,24.82392441,3.601791992,0.821057791
B,Amb,R2,209,20.12097829,3.535789675,0.915521656
B,Amb,R3,301,22.04174164,4.369872785,1.381519992
B,Amb,R3,302,22.57892186,4.686241062,1.285910126
B,Amb,R3,320,23.7441218,4.734693591,1.243809699
B,Ele,R4,403,28.27328557,5.330252976,1.453855828
B,Ele,R4,408,25.42317046,4.992548413,1.612611146
B,Ele,R4,422,25.47959891,4.796922669,1.674424102
B,Ele,R5,501,24.15229316,3.463366066,0.780520024
B,Ele,R5,502,23.57647238,2.42946728,0.780579368
B,Ele,R5,509,21.35867894,2.337570327,0.77984602
B,Amb,R6,603,23.2714497,2.705491129,0.755330423
B,Amb,R6,607,22.41473315,3.383454232,0.753015919
B,Amb,R6,612,22.56596484,3.735243323,0.734851606
D,Ele,R1,111,23.03148665,2.790893007,0.941612285
D,Ele,R1,116,20.4710424,2.600185655,1.015676493
D,Ele,R1,117,22.7993373,3.8398626,1.01194604
D,Ele,R1,122,18.08013345,2.876946811,1.174088409
D,Amb,R2,202,19.16445909,3.854382074,1.048758177
D,Amb,R2,207,16.74497087,3.564126433,1.153281624
D,Amb,R2,208,18.371315,3.857316014,1.13159469
D,Amb,R2,209,15.60654386,3.611293116,1.138162903
D,Amb,R3,301,15.95022229,3.294462816,1.597731263
D,Amb,R3,302,18.28031349,3.933744448,1.494056049
D,Amb,R3,319,19.69671856,5.081413448,1.393069725
D,Amb,R3,320,15.69040169,3.117649475,1.629489247
D,Ele,R4,403,21.23641768,3.147138809,1.747674002
D,Ele,R4,408,24.28356342,4.032097371,1.846180005
D,Ele,R4,413,20.50748438,4.386923949,1.97125663
D,Ele,R4,422,24.52101202,4.011545067,1.763821127
D,Ele,R5,501,20.41599358,4.382995209,1.199306964
D,Ele,R5,502,22.62014376,4.220841866,1.460598953
D,Ele,R5,509,18.10407653,3.32199698,1.688301864
D,Ele,R5,513,24.63496458,4.484305505,1.506476215
D,Amb,R6,603,18.27120565,4.122480248,1.380964343
D,Amb,R6,607,19.0121376,4.202970938,1.496105505
D,Amb,R6,612,16.23704565,3.654773327,1.530264109
D,Amb,R6,614,19.01958108,4.275930178,1.505598925
C,Ele,R1,111,30.63791935,4.511214027,1.500219566
C,Ele,R1,116,23.2789614,3.799731895,1.499438529
C,Ele,R1,117,25.60867052,4.737685792,1.351285978
C,Ele,R1,122,25.04076591,3.984621397,1.451834099
C,Amb,R2,202,22.81439642,4.813108956,1.541489808
C,Amb,R2,207,18.98581513,4.626937963,1.589857282
C,Amb,R2,208,11.60342708,2.739389474,1.912754095
C,Amb,R2,209,20.30316286,5.136399109,1.397100142
C,Amb,R3,301,19.84970488,2.331633666,1.10646049
C,Amb,R3,302,17.47495055,2.394273199,1.107200766
C,Amb,R3,319,18.58122206,2.889323496,0.98359637
C,Amb,R3,320,18.39136009,2.407733219,0.992140119
C,Ele,R4,403,22.34248513,2.43936102,1.190921627
C,Ele,R4,408,26.70403673,2.916693532,1.213412967
C,Ele,R4,413,19.8078909,1.948690473,1.339640763
C,Ele,R4,422,18.41815074,2.509094146,1.376585356
C,Ele,R5,501,22.78228202,3.003234738,1.184124679
C,Ele,R5,502,21.69487727,2.238261876,1.268496717
C,Ele,R5,509,19.50290922,2.12606403,1.351898684
C,Ele,R5,513,21.06251439,2.332570497,1.427654845
C,Amb,R6,603,18.63515407,2.745031233,1.657101268
C,Amb,R6,607,21.4937802,3.6702448,1.613567473
C,Amb,R6,612,13.70348794,1.905415539,1.969833034
C,Amb,R6,613,5.351546355,0.797767259,2.263284088
